app,category,
app1,AN,1
app2,AN,2
app3,AN,3
app4,AN,4
app5,AN,5
app6,AN,6
app7,AN,7
app8,AN,8
app9,AN,9
app10,AN,10
app11,TS,11
app12,TS,12
app13,TS,13
app14,TS,14
app15,TS,15
app16,TS,16
app17,TS,17
app18,TS,18
app19,TS,19
app20,TS,20
app21,RT,21
app22,RT,22
app23,RT,23
app24,RT,24
app25,RT,25
app26,RT,26
app27,RT,27
app28,RT,28
app29,RT,29
app30,RT,30
app31,RT,31
app32,RT,32
app33,RT,33
app34,RT,34
app35,RT,35
app36,VS,36
app37,VS,37
app38,VS,38
app39,VS,39
app40,VS,40
app41,VS,41
app42,VS,42
app43,VS,43
app44,VS,44
app45,VS,45
app46,VS,46
app47,VS,47
app48,VS,48
app49,VS,49
app50,VS,50
